Measure Mode: allocations
Thread ID: 70123361010180
Fiber ID: 70123360716720
Total: 2637.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.23      9.000     6.000     0.000     3.000        1   ActionView::PartialRenderer#retrieve_variable
  0.23    225.000     6.000     0.000   219.000        3   Enumerable#collect
  0.23      6.000     6.000     0.000     0.000        3   Object#try
  0.23      6.000     6.000     0.000     0.000        3   <Class::File>#file?
  0.23      6.000     6.000     0.000     0.000        7   String#gsub!
  0.23     10.000     6.000     0.000     4.000        2   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quote_column_name
  0.23   1485.000     6.000     0.000  1479.000        1   ActionView::TemplateRenderer#render_with_layout
  0.23      6.000     6.000     0.000     0.000        3   ActiveRecord::Relation#reset
  0.23     24.000     6.000     0.000    18.000        2   ActionView::LookupContext::ViewPaths#find_all
  0.23      6.000     6.000     0.000     0.000        8   String#to_str
  0.23      6.000     6.000     0.000     0.000        3   UnboundMethod#bind
  0.23      6.000     6.000     0.000     0.000        3   Kernel#lambda
  0.23    126.000     6.000     0.000   120.000        3   Enumerable#group_by
  0.19     75.000     5.000     0.000    70.000        1   Rack::Test::Session#env_for
  0.19     34.000     5.000     0.000    29.000        1   PostsController#_layout
  0.19      5.000     5.000     0.000     0.000       10   ThreadSafe::NonConcurrentCacheBackend#[]=
  0.19     26.000     5.000     0.000    21.000        3   Rack::Utils#clean_path_info
  0.19      5.000     5.000     0.000     0.000        5   Array#*
  0.19      7.000     5.000     0.000     2.000        2   ActionDispatch::Http::MimeNegotiation#content_mime_type
  0.19     14.000     5.000     0.000     9.000        3   Kernel#clone
  0.19      5.000     5.000     0.000     0.000        8   String#[]
  0.19      8.000     5.000     0.000     3.000        1   <Class::ActionDispatch::Journey::Router::Utils>#normalize_path
  0.19     64.000     5.000     0.000    59.000        1   ActionView::Helpers::AssetTagHelper#javascript_include_tag
  0.19     18.000     5.000     0.000    13.000        1   Rack::Request#cookies
  0.19     11.000     5.000     0.000     6.000        1   Rack::ETag#digest_body
  0.19     17.000     5.000     0.000    12.000        1   ApplicationController#_layout
  0.19   2397.000     5.000     0.000  2392.000        1   Rack::MockSession#request
  0.19      5.000     5.000     0.000     0.000        8   IO#write
  0.15   1385.000     4.000     0.000  1381.000        3  *ActionView::Template#instrument
  0.15      9.000     4.000     0.000     5.000        1   ActionDispatch::Http::Headers#env_name
  0.15     10.000     4.000     0.000     6.000        3   SQLite3::Database#prepare
  0.15      4.000     4.000     0.000     0.000        2   <Class::File>#extname
  0.15     65.000     4.000     0.000    61.000        1   ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.15     24.000     4.000     0.000    20.000        2   Sprockets::Rails::Helper#asset_digest_path
  0.15     35.000     4.000     0.000    31.000        2   ActionDispatch::Http::Cache::Response#prepare_cache_control!
  0.15      9.000     4.000     0.000     5.000        4   ActionView::Resolver#find_all
  0.15     10.000     4.000     0.000     6.000        2   ActiveRecord::Core::ClassMethods#relation
  0.15      7.000     4.000     0.000     3.000        1   ActionDispatch::Integration::Runner#copy_session_variables!
  0.15      4.000     4.000     0.000     0.000        2   Sprockets::Base#cache_key_for
  0.15      5.000     4.000     0.000     1.000        2   Enumerable#find_all
  0.15      8.000     4.000     0.000     4.000        4   ActionView::LookupContext::ViewPaths#detail_args_for
  0.15      4.000     4.000     0.000     0.000        2   Rack::Request#scheme
  0.15     32.000     4.000     0.000    28.000        4   ActionView::LookupContext::ViewPaths#args_for_lookup
  0.15   2145.000     4.000     0.000  2141.000        1   Rails::Rack::Logger#call_app
  0.15     23.000     4.000     0.000    19.000        1   ActionView::TemplateRenderer#determine_template
  0.15      4.000     4.000     0.000     0.000        4   <Class::ActiveRecord::LogSubscriber>#reset_runtime
  0.15     37.000     4.000     0.000    33.000        2   ActionView::LogSubscriber#render_template
  0.15     69.000     4.000     0.000    65.000        4   ActionView::Helpers::TagHelper#content_tag_string
  0.15     77.000     4.000     0.000    73.000        3   ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.15      4.000     4.000     0.000     0.000        4   ActionView::LookupContext::Accessors#formats
  0.15      6.000     4.000     0.000     2.000        1   Arel::Nodes::SelectCore#initialize
  0.15      4.000     4.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#subscribe
  0.15     10.000     4.000     0.000     6.000        3   ActionDispatch::Http::MimeNegotiation#formats
  0.15     16.000     4.000     0.000    12.000        1   ActionController::LogSubscriber#start_processing
  0.11      3.000     3.000     0.000     0.000        3   ActionView::Helpers::UrlHelper#link_to_remote_options?
  0.11    234.000     3.000     0.000   231.000        3   ActionDispatch::Journey::Formatter#generate
  0.11      3.000     3.000     0.000     0.000        1   Rack::Request#trusted_proxy?
  0.11      3.000     3.000     0.000     0.000        3   ActionDispatch::Routing::RouteSet::Generator#normalize_action!
  0.11      9.000     3.000     0.000     6.000        3   ActionDispatch::Routing::RouteSet::Generator#normalize_controller!
  0.11      3.000     3.000     0.000     0.000        3   Array#reverse
  0.11      3.000     3.000     0.000     0.000        3   Array#drop_while
  0.11      3.000     3.000     0.000     0.000        3   Rack::Utils::KeySpaceConstrainedParams#initialize
  0.11     16.000     3.000     0.000    13.000        1   Turbolinks::XDomainBlocker#abort_xdomain_redirect
  0.11     36.000     3.000     0.000    33.000        1   ActiveRecord::QueryMethods#build_arel
  0.11      3.000     3.000     0.000     0.000        3   ActiveRecord::QueryMethods#includes_values
  0.11      3.000     3.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#missing_keys
  0.11     23.000     3.000     0.000    20.000        1   Rack::Request#POST
  0.11      6.000     3.000     0.000     3.000        3   <Module::ActionDispatch::Http::URL>#path_for
  0.11      3.000     3.000     0.000     0.000        6   Symbol#to_proc
  0.11     60.000     3.000     0.000    57.000        3   ActionDispatch::Http::Parameters#parameters
  0.11      3.000     3.000     0.000     0.000        3   Symbol#[]
  0.11      4.000     3.000     0.000     1.000        1   Rack::Session::Abstract::ID#force_options?
  0.11      3.000     3.000     0.000     0.000        4   Array#uniq
  0.11   2277.000     3.000     0.000  2274.000        1   Rails::Engine#call
  0.11      3.000     3.000     0.000     0.000        3   Class#allocate
  0.11      3.000     3.000     0.000     0.000        3   String#tr
  0.11     34.000     3.000     0.000    31.000        2   ActionDispatch::Request#cookie_jar
  0.11   2571.000     3.000     0.000  2568.000        1   BrowsingTest#test_homepage
  0.11     36.000     3.000     0.000    33.000        3   ActiveRecord::Persistence::ClassMethods#instantiate
  0.11      8.000     3.000     0.000     5.000        1   SQLite3::Database#transaction
  0.11      9.000     3.000     0.000     6.000        6   Arel::Visitors::ToSql#maybe_visit
  0.11      3.000     3.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#initialize
  0.11      6.000     3.000     0.000     3.000        3   Array#reject
  0.11      3.000     3.000     0.000     0.000        3   URI::Generic#split_userinfo
  0.11      3.000     3.000     0.000     0.000        3   Module#instance_method
  0.11   1944.000     3.000     0.000  1941.000        1   ActionView::Rendering#process
  0.11      3.000     3.000     0.000     0.000        3   PostsHelper#pretify
  0.11   2272.000     3.000     0.000  2269.000        1   Rack::Sendfile#call
  0.11     49.000     3.000     0.000    46.000        1   ActionDispatch::FileHandler#match?
  0.11     38.000     3.000     0.000    35.000        1   ActionView::TemplateRenderer#find_layout
  0.11      6.000     3.000     0.000     3.000        3   URI::Generic#set_userinfo
  0.11     38.000     3.000     0.000    35.000        1   WillPaginate::ActiveRecord::Pagination#page
  0.11    156.000     3.000     0.000   153.000        1   ActiveRecord::Querying#find_by_sql
  0.11      6.000     3.000     0.000     3.000        3   ActionView::Helpers::UrlHelper#convert_options_to_data_attributes
  0.11     21.000     3.000     0.000    18.000        3   Kernel#loop
  0.11      3.000     3.000     0.000     0.000        3   ActiveRecord::LazyAttributeHash#initialize
  0.11      4.000     3.000     0.000     1.000        1   Hash#except
  0.08     11.000     2.000     0.000     9.000        1   <Module::SecureRandom>#uuid
  0.08      3.000     2.000     0.000     1.000        1   Digest::Instance#hexdigest
  0.08      2.000     2.000     0.000     0.000        1   ActiveSupport::Inflector#underscore
  0.08     30.000     2.000     0.000    28.000        2   Sprockets::Rails::Helper#compute_asset_path
  0.08      2.000     2.000     0.000     0.000        1   Enumerable#any?
  0.08      4.000     2.000     0.000     2.000        2   Haml::Buffer#new_encoded_string
  0.08      4.000     2.000     0.000     2.000        1   ActionView::Layouts#initialize
  0.08      4.000     2.000     0.000     2.000        2   Sprockets::Rails::Helper#request_debug_assets?
  0.08      2.000     2.000     0.000     0.000        1   ActionController::Metal#initialize
  0.08     11.000     2.000     0.000     9.000        1   ActiveSupport::Testing::TaggedLogging#before_setup
  0.08      2.000     2.000     0.000     0.000        2   Module#to_s
  0.08     72.000     2.000     0.000    70.000        1   Sprockets::Rails::Helper#stylesheet_link_tag
  0.08      2.000     2.000     0.000     0.000        3   ActionDispatch::Response#munge_body_object
  0.08      2.000     2.000     0.000     0.000        2   Thread::ConditionVariable#initialize
  0.08      2.000     2.000     0.000     0.000        2   Sprockets::Manifest#assets
  0.08      2.000     2.000     0.000     0.000        2   String#encode
  0.08     31.000     2.000     0.000    29.000        2   ActionDispatch::Http::Cache::Response#cache_control_headers
  0.08     14.000     2.000     0.000    12.000        2   Rack::Utils::HeaderHash#initialize
  0.08   1950.000     2.000     0.000  1948.000        1   ActionController::Metal#dispatch
  0.08      7.000     2.000     0.000     5.000        1   Enumerable#all?
  0.08      6.000     2.000     0.000     4.000        2   Sprockets::Base#[]
  0.08      2.000     2.000     0.000     0.000        1   Enumerable#flat_map
