Measure Mode: memory
Thread ID: 70198652961280
Fiber ID: 70198652682660
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::TagHelper#tag
   NaN      0.000     0.000     0.000     0.000        2   <Class::File>#extname
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetUrlHelper#stylesheet_path
   NaN      0.000     0.000     0.000     0.000        2   Hash#extract!
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
   NaN      0.000     0.000     0.000     0.000        2   ActionView::Helpers::ControllerHelper#params
   NaN      0.000     0.000     0.000     0.000        2   <Class::ActionView::Base>#debug_assets
   NaN      0.000     0.000     0.000     0.000        2   ActionView::Base#debug_assets
   NaN      0.000     0.000     0.000     0.000        2   Sprockets::Rails::Helper#request_debug_assets?
   NaN      0.000     0.000     0.000     0.000        3   Kernel#instance_of?
   NaN      0.000     0.000     0.000     0.000        3   Hash#extractable_options?
   NaN      0.000     0.000     0.000     0.000        4   Array#extract_options!
   NaN      0.000     0.000     0.000     0.000        1   Sprockets::Rails::Helper#stylesheet_link_tag
   NaN      0.000     0.000     0.000     0.000        5   String#original_concat
   NaN      0.000     0.000     0.000     0.000        5   ActiveSupport::SafeBuffer#safe_concat
   NaN      0.000     0.000     0.000     0.000        1   ActionView::CompiledTemplates#_app_views_layouts_application_html_erb___200429988384850573_70198658206400
   NaN      0.000     0.000     0.000     0.000        1   ActionView::OutputFlow#set
   NaN      0.000     0.000     0.000     0.000        1   Fixnum#<
   NaN      0.000     0.000     0.000     0.000        1   #<Class:0x007fb0cf0197d0>#<
   NaN      0.000     0.000     0.000     0.000        1   Float#ceil
   NaN      0.000     0.000     0.000     0.000        1   Fixnum#/
   NaN      0.000     0.000     0.000     0.000        1   Fixnum#to_f
   NaN      0.000     0.000     0.000     0.000        1   WillPaginate::ActiveRecord::RelationMethods#per_page
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::Relation#size
   NaN      0.000     0.000     0.000     0.000        2   WillPaginate::ActiveRecord::RelationMethods#size
   NaN      0.000     0.000     0.000     0.000        2   WillPaginate::ActiveRecord::RelationMethods#total_entries
   NaN      0.000     0.000     0.000     0.000        1   WillPaginate::CollectionMethods#total_pages
   NaN      0.000     0.000     0.000     0.000        1   WillPaginate::CollectionMethods#next_page
   NaN      0.000     0.000     0.000     0.000        2   Float#to_default_s
   NaN      0.000     0.000     0.000     0.000        2   Float#to_s
   NaN      0.000     0.000     0.000     0.000        3   Float#round
   NaN      0.000     0.000     0.000     0.000        3   ActionView::LogSubscriber#rails_root
   NaN      0.000     0.000     0.000     0.000        3   ActionView::LogSubscriber#from_rails_root
   NaN      0.000     0.000     0.000     0.000        2   ActionView::LogSubscriber#render_template
   NaN      0.000     0.000     0.000     0.000        4   ActiveSupport::Notifications::Fanout::Subscribers::Timed#finish
   NaN      0.000     0.000     0.000     0.000       15   ActiveSupport::SafeBuffer#html_safe?
   NaN      0.000     0.000     0.000     0.000        5   Array#*
   NaN      0.000     0.000     0.000     0.000       11   ERB::Util#unwrapped_html_escape
   NaN      0.000     0.000     0.000     0.000        7   ActionView::Helpers::TagHelper#tag_option
   NaN      0.000     0.000     0.000     0.000        5   Hash#blank?
   NaN      0.000     0.000     0.000     0.000        5   ActionView::Helpers::TagHelper#tag_options
   NaN      0.000     0.000     0.000     0.000        4   ActionView::Helpers::TagHelper#content_tag_string
   NaN      0.000     0.000     0.000     0.000        4   ActionView::Helpers::TagHelper#content_tag
   NaN      0.000     0.000     0.000     0.000        4   ActionView::Helpers::TagHelper#content_tag_with_haml
   NaN      0.000     0.000     0.000     0.000        3   Hash#reject!
   NaN      0.000     0.000     0.000     0.000        3   <Module::ActionDispatch::Http::URL>#add_params
   NaN      0.000     0.000     0.000     0.000        3   <Module::ActionDispatch::Http::URL>#path_for
   NaN      0.000     0.000     0.000     0.000        3   <Module::ActionDispatch::Http::URL>#url_for
   NaN      0.000     0.000     0.000     0.000        3   #<Class:0x007fb0cd060830>#name
   NaN      0.000     0.000     0.000     0.000        6  *ActionDispatch::Journey::Format#evaluate
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Route#format
   NaN      0.000     0.000     0.000     0.000        6   Hash#delete_if
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#missing_keys
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Routing::RouteSet::Dispatcher#dispatcher?
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Route#dispatcher?
   NaN      0.000     0.000     0.000     0.000        3   Hash#keep_if
   NaN      0.000     0.000     0.000     0.000        9   ActionDispatch::Journey::Route#required_parts
   NaN      0.000     0.000     0.000     0.000        3   Array#drop_while
   NaN      0.000     0.000     0.000     0.000        3   Array#reverse
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Route#parts
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#extract_parameterized_parts
   NaN      0.000     0.000     0.000     0.000        3   Fixnum#<=>
   NaN      0.000     0.000     0.000     0.000        3   Array#reverse_each
   NaN      0.000     0.000     0.000     0.000        9   ActionDispatch::Journey::Route#required_defaults
   NaN      0.000     0.000     0.000     0.000        9   ActionDispatch::Journey::Path::Pattern#required_names
   NaN      0.000     0.000     0.000     0.000        9   ActionDispatch::Journey::Route#score
   NaN      0.000     0.000     0.000     0.000        3   Enumerable#group_by
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#non_recursive
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#cache
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#named_routes
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#match_route
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Journey::Formatter#generate
   NaN      0.000     0.000     0.000     0.000        3   ActionDispatch::Routing::RouteSet::Generator#generate
